"risk","expreturn"
"Q1y_1984",0.0231647707812858,0.00971511622340502
"Q2y_1984",0.0224295986421526,0.0102251223134836
"Q3y_1984",0.0220599239668177,0.00701219513194985
"Q4y_1984",0.0247200973217746,0.00779745584230494
"Q1y_1985",0.0250489040133600,0.00862626256431471
"Q2y_1985",0.0243770249173214,0.00943157870569594
"Q3y_1985",0.0227217174781915,0.00937412509309701
"Q4y_1985",0.0215317179038042,0.0100884624160617
"Q1y_1986",0.0216447377858413,0.0130784697940785
"Q2y_1986",0.02342495925951,0.0146005156002833
"Q3y_1986",0.0227466942433975,0.0144798625258839
"Q4y_1986",0.0219676363196483,0.0141173946098469
"Q1y_1987",0.0212642312758944,0.0138310270493661
"Q2y_1987",0.0206350345604330,0.0154140028805059
"Q3y_1987",0.0219250954344175,0.0153494272731661
"Q4y_1987",0.0216089004659784,0.0138731683499913
"Q1y_1988",0.0222224210455609,0.0107908882344654
"Q2y_1988",0.0218351546719849,0.0120253861889468
"Q3y_1988",0.0203334182400438,0.0111556061669262
"Q4y_1988",0.0198208271623991,0.0098465540759848
"Q1y_1989",0.0197936803576530,0.0114370639662559
"Q2y_1989",0.0190226057859910,0.0117137584103399
"Q3y_1989",0.0186574625186454,0.0123285440905743
"Q4y_1989",0.0187963336677166,0.0129311291881273
"Q1y_1990",0.0178355796838096,0.0131784473432659
"Q2y_1990",0.0180731194451214,0.0100209792212761
"Q3y_1990",0.0180144051727320,0.00998796543642427
"Q4y_1990",0.0198128747025808,0.00980247834041349
"Q1y_1991",0.0197224472112782,0.00910232801164431
"Q2y_1991",0.0182070094926210,0.00938422080568908
"Q3y_1991",0.0154767212657549,0.00850831262431659
"Q4y_1991",0.0155553899255124,0.0098852012740666
"Q1y_1992",0.0157535715476104,0.00939823086040053
"Q2y_1992",0.0163596160985936,0.00737721182762777
"Q3y_1992",0.0157376099558169,0.00804748975942537
"Q4y_1992",0.0153307237582699,0.00814687305364462
"Q1y_1993",0.0159260718956271,0.00690415540654256
"Q2y_1993",0.0151329809707606,0.00808487867994532
"Q3y_1993",0.0152023768554609,0.00756399908833272
"Q4y_1993",0.014480105831836,0.00756177712446276
"Q1y_1994",0.0160632675485304,0.00613758879848336
"Q2y_1994",0.0171342146539662,0.00483501086123382
"Q3y_1994",0.0168688458303382,0.0048279230339306
"Q4y_1994",0.0176459635192258,0.00424501069023845
"Q1y_1995",0.0170018500979017,0.00354571874387868
"Q2y_1995",0.0165397754581343,0.00458951486415029
"Q3y_1995",0.0175819031082027,0.00563979533570231
"Q4y_1995",0.0169036409282168,0.00667197407277404
"Q1y_1996",0.0167052974508496,0.00864647122696848
"Q2y_1996",0.0166203482570000,0.0090061889131924
"Q3y_1996",0.0155586534671642,0.00943511108345268
"Q4y_1996",0.0164608157478852,0.00858740905623524
"Q1y_1997",0.0177937963504240,0.00921450278773599
"Q2y_1997",0.0180526252165039,0.0074250040664137
"Q3y_1997",0.0171828069979351,0.00867504707709869
"Q4y_1997",0.0192316295428833,0.00934990839395674
"Q1y_1998",0.0202970847464863,0.00751260177163771
"Q2y_1998",0.0182884459621578,0.00760319688920767
"Q3y_1998",0.0165744925431538,0.00635791897821051
"Q4y_1998",0.0186425630366472,0.00489455928187847
"Q1y_1999",0.0196300850658687,0.00575668328834514
"Q2y_1999",0.0202226372092891,0.00560240216012872
"Q3y_1999",0.0203694779281848,0.00583742581256884
"Q4y_1999",0.0191624854542799,0.00594746102332729
"Q1y_2000",0.0180956319670423,0.00696709791861652
"Q2y_2000",0.0179757146678456,0.007303046900296
"Q3y_2000",0.0179647706316109,0.00738720641960783
"Q4y_2000",0.0186795836208798,0.00665546911203541
"Q1y_2001",0.0178094332893956,0.00664704595238406
"Q2y_2001",0.0176695614435945,0.00461462160229460
"Q3y_2001",0.0170977421358531,0.00404798410851955
"Q4y_2001",0.0166685100489312,0.00242449936324339
"Q1y_2002",0.0180518611428832,0.00223186480805779
"Q2y_2002",0.0160332668853256,0.00270753916504583
"Q3y_2002",0.0168825721778177,0.00223212501687931
"Q4y_2002",0.0161104307388972,0.00193817547687680
"Q1y_2003",0.0158025953387925,0.00319404221301537
"Q2y_2003",0.0157202044807992,0.00229037547475433
"Q3y_2003",0.0162098728140188,0.00443241389704209
"Q4y_2003",0.0182512114826122,0.00394709074245937
"Q1y_2004",0.0174697305849058,0.00567928919130198
"Q2y_2004",0.0164843352552835,0.00644236355689549
"Q3y_2004",0.0168455777662503,0.0055264897921347
"Q4y_2004",0.0162361974690996,0.00620356706547633
"Q1y_2005",0.0156371796362678,0.0060997686148904
"Q2y_2005",0.0150709403852216,0.00593153083262181
"Q3y_2005",0.0145075759146170,0.00572814492788859
"Q4y_2005",0.0136665202870446,0.00617487876423166
"Q1y_2006",0.0140184821406669,0.0054504685837431
"Q2y_2006",0.0133534484044037,0.00513327897244814
"Q3y_2006",0.0130222387803966,0.00464427811610275
"Q4y_2006",0.0125359386867730,0.00487904893582944
"Q1y_2007",0.0123838120114439,0.0053086607418207
"Q2y_2007",0.0116769820945648,0.00547419295179876
"Q3y_2007",0.0112238337797023,0.00535931548445546
"Q4y_2007",0.0112243435720642,0.0060686051029439
"Q1y_2008",0.0117689220131607,0.00612341988321834
"Q2y_2008",0.0117496930911748,0.00530505182652024
"Q3y_2008",0.0113520987150031,0.00499502293003077
"Q4y_2008",0.0122943937992119,0.00156392513879939
"Q1y_2009",0.0222871832161314,-0.000444519393651704
"Q2y_2009",0.0221185270658920,-0.00238132358618522
"Q3y_2009",0.0208076599894101,0.000479770938640231
"Q4y_2009",0.0187507704362648,0.00191578021285438
"Q1y_2010",0.0166234272566682,0.00187148424321113
"Q2y_2010",0.0166594570165707,0.00215055584667338
"Q3y_2010",0.0170709735720594,0.00175138796633851
